timestamp,domain,query_type,dnssec,protocol,client_ip,status,reasons,destination_country,root_domain,device_id,device_name,device_model,device_local_ip,matched_name,client_name
2026-06-03T09:05:12.948Z,www.google.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,google.com,,,,,,
2026-06-03T09:05:12.353Z,www.gstatic.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,US,gstatic.com,,,,,,
2026-06-03T09:05:12.353Z,www.gstatic.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,US,gstatic.com,,,,,,
2026-06-03T09:01:10.614Z,fdroid.tetaneutral.net,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,FR,tetaneutral.net,,,,,,
2026-06-03T09:01:10.614Z,fdroid.tetaneutral.net,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,FR,tetaneutral.net,,,,,,
2026-06-03T09:00:24.961Z,web.facebook.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist,blocklist:hagezi-multi-ultimate",,facebook.com,,,,,,
2026-06-03T09:00:24.961Z,web.facebook.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist,blocklist:hagezi-multi-ultimate",,facebook.com,,,,,,
2026-06-03T08:57:24.246Z,www.inhab.claro.com.gt,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,claro.com.gt,,,,,,
2026-06-03T08:57:24.204Z,www.inhab.claro.com.gt,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,claro.com.gt,,,,,,
2026-06-03T08:57:23.862Z,www.oneprotaro.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,oneprotaro.com,,,,,,
2026-06-03T08:57:23.818Z,www.oneprotaro.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,oneprotaro.com,,,,,,
2026-06-03T08:57:23.498Z,f2ppch.cl,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,f2ppch.cl,,,,,,
2026-06-03T08:57:23.456Z,f2ppch.cl,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,f2ppch.cl,,,,,,
2026-06-03T08:57:22.625Z,www.pprdfa.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,,pprdfa.com,,,,,,
2026-06-03T08:57:22.542Z,www.pprdfa.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,US,pprdfa.com,,,,,,
2026-06-03T08:57:22.224Z,www.ppecufa.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,ppecufa.com,,,,,,
2026-06-03T08:57:22.181Z,www.ppecufa.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,ppecufa.com,,,,,,
2026-06-03T08:57:21.859Z,www.forcis.claro.com.co,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,claro.com.co,,,,,,
2026-06-03T08:57:21.817Z,www.forcis.claro.com.co,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,claro.com.co,,,,,,
2026-06-03T08:57:21.500Z,ppmxfa.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,ppmxfa.com,,,,,,
2026-06-03T08:57:21.458Z,ppmxfa.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,ppmxfa.com,,,,,,
